nohup: ignoring input
{"step": 520, "loss": 0.5038530826568604, "train_mean_reward": 0.961562760416667, "eval_mean_reward": 0.870377281746032}
{"step": 530, "loss": 0.5255002975463867, "train_mean_reward": 0.9662502604166668, "eval_mean_reward": 0.870377281746032}
{"step": 540, "loss": 0.5227212309837341, "train_mean_reward": 0.9646877604166668, "eval_mean_reward": 0.870377281746032}
{"step": 550, "loss": 0.5097092986106873, "train_mean_reward": 0.9693752604166667, "eval_mean_reward": 0.870377281746032}
{"step": 560, "loss": 0.5259170532226562, "train_mean_reward": 0.9678127604166669, "eval_mean_reward": 0.8811055555555557}
{"step": 570, "loss": 0.4769900143146515, "train_mean_reward": 0.9693752604166668, "eval_mean_reward": 0.870377281746032}
{"step": 580, "loss": 0.49910566210746765, "train_mean_reward": 0.9685940104166667, "eval_mean_reward": 0.870377281746032}
{"step": 590, "loss": 0.5097727179527283, "train_mean_reward": 0.9670315104166668, "eval_mean_reward": 0.870377281746032}
{"step": 600, "loss": 0.48798274993896484, "train_mean_reward": 0.9670315104166668, "eval_mean_reward": 0.8811055555555557}
{"step": 610, "loss": 0.5200988054275513, "train_mean_reward": 0.9717190104166668, "eval_mean_reward": 0.8811055555555557}
{"step": 620, "loss": 0.4806599020957947, "train_mean_reward": 0.9685940104166667, "eval_mean_reward": 0.8811055555555557}
{"step": 630, "loss": 0.5201398730278015, "train_mean_reward": 0.9685940104166667, "eval_mean_reward": 0.870377281746032}
{"step": 640, "loss": 0.5160335898399353, "train_mean_reward": 0.9678127604166668, "eval_mean_reward": 0.8811055555555557}
{"step": 650, "loss": 0.5202769637107849, "train_mean_reward": 0.9670315104166668, "eval_mean_reward": 0.870377281746032}
{"step": 660, "loss": 0.5322794914245605, "train_mean_reward": 0.9646877604166668, "eval_mean_reward": 0.8811055555555557}
{"step": 670, "loss": 0.5413585305213928, "train_mean_reward": 0.9654690104166669, "eval_mean_reward": 0.8811055555555557}
{"step": 680, "loss": 0.49491947889328003, "train_mean_reward": 0.9693752604166668, "eval_mean_reward": 0.8811055555555557}
{"step": 690, "loss": 0.5496900677680969, "train_mean_reward": 0.9693752604166668, "eval_mean_reward": 0.8811055555555557}
{"step": 700, "loss": 0.49767085909843445, "train_mean_reward": 0.9670315104166668, "eval_mean_reward": 0.8811055555555557}
{"step": 710, "loss": 0.5121558308601379, "train_mean_reward": 0.9701565104166667, "eval_mean_reward": 0.8811055555555557}
{"step": 720, "loss": 0.4951593577861786, "train_mean_reward": 0.9732815104166667, "eval_mean_reward": 0.8811055555555557}
{"step": 730, "loss": 0.47948673367500305, "train_mean_reward": 0.9732815104166667, "eval_mean_reward": 0.8811055555555557}
{"step": 740, "loss": 0.48148709535598755, "train_mean_reward": 0.9725002604166667, "eval_mean_reward": 0.8811055555555557}
{"step": 750, "loss": 0.5141712427139282, "train_mean_reward": 0.9732815104166667, "eval_mean_reward": 0.8811055555555557}
{"step": 760, "loss": 0.49527090787887573, "train_mean_reward": 0.9701565104166668, "eval_mean_reward": 0.8811055555555557}
{"step": 770, "loss": 0.49510154128074646, "train_mean_reward": 0.9654690104166669, "eval_mean_reward": 0.8811055555555557}
{"step": 780, "loss": 0.5055850744247437, "train_mean_reward": 0.9717190104166668, "eval_mean_reward": 0.8811055555555557}
{"step": 790, "loss": 0.5107147693634033, "train_mean_reward": 0.9709377604166668, "eval_mean_reward": 0.8811055555555557}
{"step": 800, "loss": 0.48924750089645386, "train_mean_reward": 0.9732815104166668, "eval_mean_reward": 0.8811055555555557}
{"step": 810, "loss": 0.5160470008850098, "train_mean_reward": 0.9740627604166666, "eval_mean_reward": 0.8811055555555557}
{"step": 820, "loss": 0.4482274055480957, "train_mean_reward": 0.9740627604166666, "eval_mean_reward": 0.8811055555555557}
{"step": 830, "loss": 0.47278061509132385, "train_mean_reward": 0.9725002604166666, "eval_mean_reward": 0.8811055555555557}
{"step": 840, "loss": 0.5026796460151672, "train_mean_reward": 0.9725002604166667, "eval_mean_reward": 0.8811055555555557}
{"step": 850, "loss": 0.5002144575119019, "train_mean_reward": 0.9646877604166669, "eval_mean_reward": 0.8811055555555557}
{"step": 860, "loss": 0.49733853340148926, "train_mean_reward": 0.9685940104166668, "eval_mean_reward": 0.8811055555555557}
{"step": 870, "loss": 0.5354319214820862, "train_mean_reward": 0.9701565104166667, "eval_mean_reward": 0.8811055555555557}
{"step": 880, "loss": 0.5193923711776733, "train_mean_reward": 0.9685940104166667, "eval_mean_reward": 0.8811055555555557}
{"step": 890, "loss": 0.49455493688583374, "train_mean_reward": 0.9662502604166667, "eval_mean_reward": 0.8811055555555557}
{"step": 900, "loss": 0.5108294486999512, "train_mean_reward": 0.9709377604166666, "eval_mean_reward": 0.8811055555555557}
{"step": 910, "loss": 0.5082361698150635, "train_mean_reward": 0.9670315104166668, "eval_mean_reward": 0.8811055555555557}
{"step": 920, "loss": 0.47882261872291565, "train_mean_reward": 0.9639065104166669, "eval_mean_reward": 0.8811055555555557}
{"step": 930, "loss": 0.547204315662384, "train_mean_reward": 0.9654690104166669, "eval_mean_reward": 0.8811055555555557}
{"step": 940, "loss": 0.512274444103241, "train_mean_reward": 0.9685940104166669, "eval_mean_reward": 0.8894388888888891}
{"step": 950, "loss": 0.545059859752655, "train_mean_reward": 0.9662502604166668, "eval_mean_reward": 0.8811055555555557}
{"step": 960, "loss": 0.5204349756240845, "train_mean_reward": 0.9670315104166668, "eval_mean_reward": 0.8811055555555557}
{"step": 970, "loss": 0.516640305519104, "train_mean_reward": 0.9701565104166667, "eval_mean_reward": 0.8894388888888891}
{"step": 980, "loss": 0.5089445114135742, "train_mean_reward": 0.9693752604166668, "eval_mean_reward": 0.8811055555555557}
{"step": 990, "loss": 0.5092558264732361, "train_mean_reward": 0.9654690104166669, "eval_mean_reward": 0.8894388888888891}
